algoritmo,escenario,tamano,repeticiones,promedio_segundos,promedio_ms,desviacion_estandar
Bubble Sort,aleatoria,100,5,0.0009606400039047003,0.9606400039047003,2.961980746199154e-05
QuickSort,aleatoria,100,5,0.00036634000716730954,0.3663400071673095,3.7624702583922665e-05
Bubble Sort,invertida,100,5,0.0013476199994329364,1.3476199994329363,0.0005269985562434296
QuickSort,invertida,100,5,0.0002368000044953078,0.2368000044953078,2.018377068207568e-05
Bubble Sort,aleatoria,1000,5,0.13757477999897674,137.57477999897674,0.019378863342595972
QuickSort,aleatoria,1000,5,0.0043379399983678015,4.337939998367801,0.0016749721173652827
Bubble Sort,invertida,1000,5,0.15244122000876814,152.44122000876814,0.021862525119459006
QuickSort,invertida,1000,5,0.0056163999950513245,5.616399995051324,0.0026239121727253747
Bubble Sort,aleatoria,5000,5,2.6008504199970046,2600.850419997005,0.6518291323170503
QuickSort,aleatoria,5000,5,0.020308700000168756,20.308700000168756,0.0033548836671233083
Bubble Sort,invertida,5000,5,3.0862112400005572,3086.211240000557,0.615750673173571
QuickSort,invertida,5000,5,0.02034390000626445,20.343900006264448,0.003142908100718286
Bubble Sort,aleatoria,10000,5,9.628789640002651,9628.789640002651,1.828471218734555
QuickSort,aleatoria,10000,5,0.03713823999860324,37.13823999860324,0.004613888811391215
Bubble Sort,invertida,10000,5,14.121448059997055,14121.448059997056,1.2725419192985237
QuickSort,invertida,10000,5,0.05926886000088416,59.26886000088416,0.02461527197457573
